subject;body;label
 Interesse an Partnerschaft;Hallo, hätten Sie Interesse an einer langfristigen Vertriebspartnerschaft?;Vertrieb
 Anfrage Video-Tutorials;Hallo, gibt es Video-Tutorials zur Verwendung Ihrer Plattform?;Vertrieb
 Rückfrage technische Details;Guten Tag, wir benötigen technische Details für unsere IT-Abteilung.;Vertrieb
 Anfrage Wartungsvertrag;Sehr geehrte Damen und Herren, bieten Sie einen Wartungsvertrag für Ihre Software an?;Vertrieb
 Frage zur Skalierung;Hallo, wie skalierbar ist Ihr System?;Vertrieb
 Anfrage Mehrbenutzerlizenz;Guten Tag, bitte erstellen Sie ein Angebot für 50 Nutzer.;Vertrieb
 Nachfrage Rolloutplan;Hallo, haben Sie Beispiel-Rolloutpläne für Vertriebsteams?;Vertrieb
 Bestellung von 40 Monitoren;Guten Tag, bitte erstellen Sie uns ein Angebot für 40 Monitore inklusive Lieferdatum Ende des Monats.;Einkauf
 Reklamation fehlerhafte Lieferung;Hallo, die Lieferung vom 14.06. enthält 6 defekte Geräte. Wie ist der Ablauf der Rücksendung?;Einkauf
 Anfrage Lieferstatus;Hallo, können Sie uns den aktuellen Lieferstatus unserer Bestellung anzeigen?;Einkauf
 Vergleichsangebot Notebooks;Guten Tag, wir holen Vergleichsangebote ein. Bitte senden Sie ein Angebot für 30 Notebooks.;Einkauf
 Rückfrage Zahlungsbedingungen;Sehr geehrte Damen und Herren, welche Zahlungsbedingungen bieten Sie bei Großbestellungen?;Einkauf
 Anfrage Terminlieferung;Hallo, können Sie eine Liefergarantie für KW 35 zusagen?;Einkauf
 Angebot für Netzwerkausrüstung;Guten Tag, bitte senden Sie uns ein Angebot für Router, Switches und Kabel.;Einkauf
 Anfrage Kundennummer;Hallo, wir benötigen für die Bestellung eine Kundennummer.;Einkauf
 Bestätigung Bestellung;Sehr geehrte Damen und Herren, wir bestätigen die Bestellung gemäß Angebot 2235.;Einkauf
 Anfrage Rahmenvertrag;Hallo, bieten Sie Rahmenverträge für wiederkehrende Bestellungen?;Einkauf
 Lieferantenbewertung;Sehr geehrte Damen und Herren, wir führen eine Lieferantenbewertung durch. Bitte senden Sie Zertifikate.;Einkauf
 Reklamation Zubehör;Hallo, bei der Lieferung fehlt Zubehör für drei Geräte.;Einkauf
 Anfrage Garantiebedingungen;Guten Tag, wie lang sind Garantiebedingungen für die Hardware?;Einkauf
 Preisanfrage Office-Set;Hallo, bitte Angebot für 20 Office-Arbeitsplätze mit Maus und Tastatur.;Einkauf
 Rückfrage Ersatzlieferung;Sehr geehrte Damen und Herren, wann erhalten wir die Ersatzlieferung?;Einkauf
 Anfrage Versandkosten;Hallo, wie hoch sind Versandkosten bei Expresslieferung?;Einkauf
 Reklamation beschädigter Verpackungen;Guten Tag, mehrere Verpackungen sind beschädigt. Bitte um Prüfung.;Einkauf
 Anfrage Lieferzeit Server;Hallo, liefern Sie Server innerhalb von 10 Werktagen?;Einkauf
 Anfrage Zahlungsziel;Sehr geehrte Damen und Herren, ist ein Zahlungsziel von 30 Tagen möglich?;Einkauf
 Bestelländerung;Hallo, wir möchten die Menge von 15 auf 20 erhöhen.;Einkauf
 Lieferstatus Anforderung;Guten Tag, bitte senden Sie den Lieferstatus.;Einkauf
 Anfrage Nachbestellung;Hallo, wir möchten Artikel aus vorheriger Bestellung nachbestellen.;Einkauf
 Angebot Lagerbestand;Sehr geehrte Damen und Herren, wie hoch ist der aktuelle Lagerbestand für Modell X?;Einkauf
 Anfrage Technikdaten;Hallo, bitte senden Sie technische Datenblätter.;Einkauf
 Bestellung Büromaterial;Guten Tag, wir benötigen Büromaterial: Papier, Stifte, Ordner.;Einkauf
 Rückfrage Liefertermin;Hallo, können Sie den Liefertermin für Bestellung 444 bestätigen?;Einkauf
 Anfrage Qualitätsprüfung;Guten Tag, gibt es Qualitätsberichte zu den Produkten?;Einkauf
 Reklamation Softwarekey;Sehr geehrte Damen und Herren, der Lizenzkey funktioniert nicht.;Einkauf
 Anfrage Mengenrabatt;Hallo, gibt es Mengenrabatt ab 50 Stück?;Einkauf
 Bestellung Ersatzteile;Guten Tag, bitte Angebot für Ersatzteile gemäß Liste.;Einkauf
 Nachfrage Skonto;Hallo, bieten Sie Skonto bei Zahlung innerhalb von 10 Tagen?;Einkauf
 Anfrage Lieferung Ausland;Sehr geehrte Damen und Herren, liefern Sie nach Luxemburg?;Einkauf
 Rückfrage Lieferpapiere;Hallo, wir benötigen alle Lieferpapiere digital.;Einkauf
 Anfrage Rücksendung;Guten Tag, bitte Informationen zum Rücksendeprozess.;Einkauf
 Anfrage Testgeräte;Hallo, stellen Sie Testgeräte zur Verfügung?;Einkauf
 Stornierung Bestellung;Sehr geehrte Damen und Herren, Bestellung 336 wird storniert.;Einkauf
 Anfrage Rechnungsadresse;Hallo, nutzen Sie elektronische Rechnungen?;Einkauf
 Lieferstatus Express;Guten Tag, bitte Status bei Express.;Einkauf
 Bestellung Reparatursets;Hallo, wir möchten Reparatursets bestellen.;Einkauf
 Anfrage Großbestellung;Sehr geehrte Damen und Herren, können Sie Großbestellungen von 200 Stück liefern?;Einkauf
 Anfrage Lagerbestand Chips;Hallo, wie hoch ist aktueller Lagerbestand?;Einkauf
 Bestellbestätigung;Guten Tag, wir bestätigen Ihre Auftragsbestätigung.;Einkauf
 Anfrage Garantieverlängerung;Hallo, bieten Sie Garantieverlängerung?;Einkauf
 Rückfrage Tracking;Sehr geehrte Damen und Herren, Tracking funktioniert nicht.;Einkauf
 Anfrage Lieferavis;Hallo, bitte Lieferavis senden.;Einkauf
 Bestellung Kabelsets;Guten Tag, wir benötigen Kabelsets.;Einkauf
 Anfrage Nachkauf;Hallo, wir möchten Artikel erneut kaufen.;Einkauf
 Reklamation Lieferzeit;Sehr geehrte Damen und Herren, Lieferzeit wurde überschritten.;Einkauf
 Anfrage Zahlungsformular;Hallo, bitte Zahlungsformular zusenden.;Einkauf
